Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
your,1.081492,334.618585,1377.248695,2175.448213,3607.822285
your,1.087742,328.446044,1310.434242,2182.860747,3596.707019
your,1.093992,332.359576,1251.89655,2192.020698,3612.423341
good,1.100242,316.168822,1418.149791,2106.129552,3609.758969
good,1.106492,178.897386,1296.983865,2134.002565,3621.137232
good,1.112742,129.836593,1214.508245,2154.519733,3661.585989
good,1.118992,256.863331,1265.119274,2171.536589,3675.342584
good,1.125242,364.937998,1294.364428,2176.366017,3648.46441
good,1.131492,231.442302,1247.386672,2149.78615,3574.830273
good,1.137742,946.668222,1977.261843,3525.315947,3792.892034
good,1.143992,966.166177,1170.264658,3293.202652,3531.779734
good,1.150242,902.291166,1041.807353,3274.856577,3560.134339
good,1.156492,753.14658,1089.276207,3111.041703,3587.219457
good,1.162742,752.859995,1135.883898,3447.725097,3634.533005
good,1.168992,708.96532,1130.850462,3552.109029,3665.891184
good,1.175242,653.098414,1120.301249,3482.166088,3712.375995
good,1.181492,542.37737,1148.367063,3128.901403,3768.540271
good,1.187742,549.749911,1201.042449,3154.591822,3783.199758
good,1.193992,603.426737,1185.65,3201.608496,3792.448854
good,1.200242,313.602654,1113.450691,3058.054559,3758.336461
good,1.206492,288.832759,1108.91533,2931.88105,3787.796671
good,1.212742,354.477314,1093.8763,3067.193666,3785.160591
good,1.218992,355.588224,1118.696373,3108.208903,3862.83513
good,1.225242,340.470304,1140.943759,3105.286857,3992.218765
good,1.231492,339.336258,1158.993799,3075.813728,4021.151331
good,1.237742,344.342848,1189.977132,3109.614578,3788.850223
good,1.243992,341.958474,1229.957715,3045.250779,3599.967482
good,1.250242,342.303993,1231.086624,2875.429139,3437.433334
good,1.256492,348.978942,1229.159519,2659.463895,3396.810202
good,1.262742,357.051179,1240.185194,2594.879848,3444.190541
good,1.268992,354.492199,1267.264197,2648.269578,3467.665942
good,1.275242,347.505773,1300.530237,2744.499142,3424.074121
good,1.281492,337.814352,1288.603663,2842.032618,3381.490766
good,1.287742,284.222043,1266.352734,2785.384571,3387.135021
good,1.293992,137.509961,1259.987592,2938.72086,3534.105982
good,1.300242,83.385236,1200.427759,2919.754494,3576.748916
good,1.306492,190.785912,1276.881549,2893.011198,3566.697634
pants,1.312742,274.730131,1273.382593,2865.613088,3586.016541
pants,1.318992,287.718381,1275.829001,2862.188539,3601.712072
pants,1.325242,332.187072,1291.837407,2937.093985,3784.10005
pants,1.331492,369.13403,1239.048122,2941.200502,3750.841444
pants,1.337742,290.946718,1112.030335,2745.608032,3684.674934
pants,1.343992,1053.741597,2657.126447,3674.117022,4364.40593
pants,1.350242,1124.28844,3009.813658,3679.309155,4480.243008
pants,1.356492,308.388042,1345.925781,2984.280631,3751.034193
pants,1.362742,201.160302,1305.559895,2852.061004,3756.260214
pants,1.368992,1133.046087,2891.678329,3727.430057,4550.234614
pants,1.375242,731.150486,2468.745169,3105.435493,3820.093058
pants,1.381492,196.057123,1201.811249,2819.561131,3699.374854
pants,1.387742,379.704522,1278.157587,2855.02981,3726.188259
pants,1.393992,299.613382,1261.79893,2967.174426,3733.644021
pants,1.400242,266.062568,1247.48337,2987.894339,3764.652764
pants,1.406492,365.767152,1153.06822,2878.391081,3876.839525
pants,1.412742,370.878722,1117.763765,2754.795316,3829.637801
pants,1.418992,636.69142,1468.652474,2637.573003,3690.342603
pants,1.425242,699.287624,1606.936827,2612.139877,3536.75199
pants,1.431492,701.867746,1601.359702,2607.607061,3555.047633
pants,1.437742,702.10456,1663.155702,2592.977841,3470.485581
pants,1.443992,741.25762,1742.933096,2589.990663,3423.170529
pants,1.450242,709.99742,1799.073319,2582.025284,3485.282557
pants,1.456492,745.193349,1837.996479,2598.579729,3576.520707
pants,1.462742,776.270014,1819.537475,2610.681343,3648.59249
pants,1.468992,812.0041,1801.265604,2653.059742,3690.525497
pants,1.475242,854.423111,1802.914598,2654.784179,3788.492295
pants,1.481492,963.51532,1827.111927,2620.226864,3774.364403
pants,1.487742,921.083207,1773.081172,2639.058216,3759.446019
pants,1.493992,846.651293,1764.294569,2694.174954,3870.225566
pants,1.500242,723.584246,1757.442533,2640.707764,3921.948073
pants,1.506492,604.671292,1726.182853,2590.786614,3931.68251
pants,1.512742,639.278625,1714.302977,2542.88793,3965.681439
pants,1.518992,666.03775,1716.630825,2588.544483,3999.0056
pants,1.525242,665.330159,1733.963524,2657.079036,3997.742048
pants,1.531492,657.049472,1726.489375,2626.968637,3962.921115
pants,1.537742,643.760151,1720.030106,2632.710857,3979.566819
pants,1.543992,629.941847,1743.527726,2665.572427,3661.115033
pants,1.550242,625.281345,1771.002641,2512.648301,3311.134518
pants,1.556492,621.413887,1722.110031,2437.562132,3461.194959
pants,1.562742,620.957768,1664.004987,2553.971427,3513.281008
pants,1.568992,619.614941,1634.594347,2590.392264,3539.051624
pants,1.575242,610.554484,1614.551066,2586.890348,3542.232191
pants,1.581492,579.668634,1591.329182,2580.141554,3506.235085
pants,1.587742,525.495709,1572.421829,2594.207135,3399.506946
pants,1.593992,533.907466,1548.33345,2672.016898,3427.832427
pants,1.600242,535.24269,1542.927881,2857.864618,3753.343726
pants,1.606492,447.527933,1525.289608,2731.387417,3698.836461
pants,1.612742,373.204381,1639.520737,2656.115086,3378.018241
pants,1.618992,323.320957,1599.721786,2733.055012,4102.391654
pants,1.625242,348.058849,1708.213521,3035.290423,4110.147277
pants,1.631492,415.639576,1885.026134,3237.918025,4041.064981
pants,1.637742,455.307037,1985.039084,3015.618681,4074.033181
pants,1.643992,553.17888,1903.260543,2918.556239,4174.046456
pants,1.650242,513.237713,1798.519621,3152.861229,4199.444668
pants,1.656492,484.998598,1864.604198,3424.982601,4230.175002
pants,1.662742,133.999976,1299.922807,2282.734103,4083.112321
pants,1.668992,134.156635,1390.636688,2492.886616,3996.272612
pants,1.675242,142.00283,1476.12979,3376.852319,4032.493991
pants,1.681492,1258.893583,3259.414339,4069.714426,4355.671983
pants,1.687742,397.846428,1425.164218,3217.513225,4012.854368
pants,1.693992,531.850669,1657.715187,3349.718503,3970.732856
pants,1.700242,394.453781,1559.369177,3331.13845,3962.348604
pants,1.706492,739.67712,2906.166058,3355.935826,4220.608223
